names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CFAP97D2,-0.092416,-2.5431447,0.9263675250868907,1.0,0.0004280821917808219
AC012433.2,-0.092416,-2.8499553,0.9263675250868907,1.0,0.0004280821917808219
APOF,-0.092416,-2.6052835,0.9263675250868907,1.0,0.0004280821917808219
AL360091.2,-0.092416,-2.3535578,0.9263675250868907,1.0,0.0004280821917808219
AC092979.1,-0.092416,-2.6463888,0.9263675250868907,1.0,0.0004280821917808219
AC011523.1,-0.092416,-3.120592,0.9263675250868907,1.0,0.0004280821917808219
P2RX2,-0.092416,-2.9168522,0.9263675250868907,1.0,0.0004280821917808219
ADAM2,-0.092416,-2.581475,0.9263675250868907,1.0,0.0004280821917808219
TNFRSF10A-AS1,-0.092416,-2.6483867,0.9263675250868907,1.0,0.0004280821917808219
LINC01544,-0.092416,-2.862611,0.9263675250868907,1.0,0.0004280821917808219
AC097713.1,-0.092416,-1.8525002,0.9263675250868907,1.0,0.0004280821917808219
AC073091.4,-0.092416,-2.3137717,0.9263675250868907,1.0,0.0004280821917808219
MSX1,-0.092416,-3.1990612,0.9263675250868907,1.0,0.0004280821917808219
FREM2-AS1,-0.092416,-3.1644883,0.9263675250868907,1.0,0.0004280821917808219
AC023034.1,-0.092416,-3.0153677,0.9263675250868907,1.0,0.0004280821917808219
AC090403.1,-0.092416,-3.1825655,0.9263675250868907,1.0,0.0004280821917808219
ASB5,-0.092416,-1.5243268,0.9263675250868907,1.0,0.0004280821917808219
PCYT1B-AS1,-0.092416,-2.6031861,0.9263675250868907,1.0,0.0004280821917808219
AL355592.1,-0.092416,-3.1706054,0.9263675250868907,1.0,0.0004280821917808219
AC021739.3,-0.092416,-1.8330169,0.9263675250868907,1.0,0.0004280821917808219
HRG,-0.092416,-1.8209989,0.9263675250868907,1.0,0.0004280821917808219
AC241644.2,-0.092416,-2.0633812,0.9263675250868907,1.0,0.0004280821917808219
AL445207.1,-0.092416,-3.1655815,0.9263675250868907,1.0,0.0004280821917808219
AL137140.1,-0.092416,-2.0889988,0.9263675250868907,1.0,0.0004280821917808219
LINC02087,-0.092416,-3.188373,0.9263675250868907,1.0,0.0004280821917808219
