names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SEMA4D,4.5200667,-0.43141517,6.182016811638787e-06,1.96514441694478e-05,0.19554293205156215
TRAF6,4.5124965,-0.21872306,6.406894048952384e-06,2.023229699669174e-05,0.09188801148600144
SLC8A1,4.342959,0.33736727,1.4057636250993532e-05,4.4102388238411084e-05,0.058896969318642904
CD200,4.265593,-0.3057472,1.9937187409758985e-05,6.214188283561242e-05,0.10243765410905459
APBB1IP,4.182886,0.049694415,2.8783185421925107e-05,8.856364745207725e-05,0.07799868909766222
FCGR3B,4.1775985,2.4290195,2.9460288940755466e-05,9.006967319466639e-05,0.0331471019694747
IL17RA,4.165772,0.050478153,3.1030069482614784e-05,9.42685655168044e-05,0.05874090951652673
CXCL8,4.1544394,0.37915778,3.2608606896289066e-05,9.78258206888672e-05,0.050969131371141424
TRAFD1,4.1519413,-0.109740175,3.296668339735537e-05,9.828576416602844e-05,0.07044539467523955
PDGFA,4.107784,0.1285925,3.994734203361576e-05,0.00011836249491441705,0.06045756733980461
ADAMTS5,4.0913715,0.67226857,4.288292114297667e-05,0.0001262809947768638,0.04491401104903399
TRAF3IP2,3.9339585,0.91697556,8.355820344868772e-05,0.0002430784100325461,0.03873404288523362
PDPN,3.8544168,0.5531908,0.00011600583803093538,0.0003354385678002951,0.04088766815443678
HAVCR2,3.7567081,0.5014673,0.00017216303429924064,0.0004948398590636857,0.04257311401729143
CXCL2,3.741504,-0.5885566,0.00018292231680812495,0.000522635190880357,0.09766222416429976
LEF1,3.5733273,0.4645844,0.00035247360383156386,0.0009952195872891215,0.0428228097006773
EDN1,3.564624,-0.028165223,0.0003643779989578044,0.0010228154356710297,0.05611910484097506
TNFSF14,3.542101,1.5685563,0.00039695342983216863,0.001104145984295813,0.02999469396672805
TCF7,3.5339427,1.055002,0.00040940999221382473,0.00112940687507262,0.031149536502387713
IL4R,3.5187395,-0.4850383,0.00043360249649726984,0.0011893097046782259,0.09135740815880646
CDH13,3.516588,0.3976692,0.0004371318732064649,0.0011921778360176316,0.03957676581666095
TOP2A,3.4980829,1.3026199,0.00046861563906304215,0.0012708220720353686,0.031243172383657418
ROBO1,3.3501265,-0.2620623,0.0008077468971262789,0.002178193879891089,0.0785292924248572
DDIT3,3.340386,-0.41755357,0.0008366207946343372,0.002243452410192636,0.09538375105340366
FLT1,3.3369033,1.0734664,0.000847174036254511,0.002259130763345363,0.03164892786915946
IKZF2,3.3179002,0.13771768,0.000906969278966431,0.0024052223972590436,0.04781672336839477
RBCK1,3.3120296,-0.5463658,0.000926217618308982,0.0024427717405951176,0.1191672648959081
JAM3,3.3072925,0.597876,0.0009420252278233667,0.0024708858434711258,0.035987390367989015
NTN4,3.2015765,-0.40754583,0.0013667783489132745,0.0035655087362954983,0.26164986422797215
ABR,3.169319,-0.61407137,0.001527966437177639,0.003964453458623064,0.15571647055151533
COL16A1,3.1164796,-0.5874979,0.0018302434374867357,0.0047232088709335115,0.08776803271013453
DOCK8,3.0229187,0.678346,0.0025034944690309102,0.0064260820595445824,0.03111832454196448
C5AR1,3.0029237,0.50863415,0.002673993575544615,0.006827217639688379,0.03327194981116764
PIK3CD,2.9797635,-0.095891446,0.0028847101683357594,0.007326248046567008,0.04463310340522488
IL17RB,2.9649348,-0.273289,0.0030274698826259655,0.007648344966634018,0.06242392084646837
FUT4,2.9111247,-0.0030816074,0.003601302578781411,0.009050393915262186,0.04216735853178938
CD14,2.8593123,1.4954833,0.0042456054282508,0.010614013570626999,0.02553138362620556
