names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HMOX2,18.93632,0.7191312,5.726215610351242e-80,5.0035069243711215e-79,0.10835547109809777
NHLRC3,18.93434,0.2601893,5.9457140303368716e-80,5.193935508111168e-79,0.14161059510189836
HDHD2,18.933397,0.41681623,6.053065203089052e-80,5.2863223830449464e-79,0.12598165635725506
LEPROTL1,18.933111,1.2991968,6.0859679240632415e-80,5.31365971471459e-79,0.08549378526691358
ARL5A,18.9273,0.5192132,6.79585890374275e-80,5.931905863298482e-79,0.1180702332706366
DIXDC1,18.92666,0.095712215,6.878650789389996e-80,6.002594502257699e-79,0.24626243431385855
TP53INP1,18.925581,1.368377,7.02098225858925e-80,6.125189041360941e-79,0.08180954412363538
FP671120.4,18.92361,2.276468,7.288534828752365e-80,6.356934868765262e-79,0.08264334606658781
DDX52,18.921167,0.2623519,7.634337194355887e-80,6.656789185960947e-79,0.15683232824649512
UNK,18.913605,0.20514835,8.812179806670918e-80,7.67978000789242e-79,0.18176882356363072
ARHGEF18,18.910654,0.23454835,9.319281768860428e-80,8.117456239591859e-79,0.18710127784995442
RALGDS,18.909735,1.4567499,9.483377827753492e-80,8.258223902248281e-79,0.0833608035523841
SRFBP1,18.908628,0.5995173,9.684285745762022e-80,8.430965492980654e-79,0.11587907932752904
HIPK3,18.904436,0.0911788,1.0485263087170583e-79,9.125889267271613e-79,0.3048418684919819
SELENOP,18.9035,1.4107163,1.0673444525717777e-79,9.287239309012922e-79,0.08277908126660333
TERF1,18.903013,0.46786702,1.0772305708297658e-79,9.370805311457046e-79,0.11789571658490237
AC099788.1,18.902454,2.05518,1.088664685563993e-79,9.467789999860352e-79,0.07488704892284423
SHFL,18.901257,1.2867048,1.11369229846571e-79,9.68291151564688e-79,0.08690930949564678
ILKAP,18.88287,0.33608884,1.5777343941234544e-79,1.371389864462701e-78,0.14630315487386322
MOSMO,18.879906,0.16048695,1.6688366984893106e-79,1.4501976900455134e-78,0.17600977293440112
SPATA5,18.879074,0.10695111,1.6953012883048513e-79,1.472809627861703e-78,0.23577204242694538
PITPNM2,18.87537,0.18462627,1.818480218655884e-79,1.579409290616008e-78,0.21378294002443235
SLC25A42,18.871305,0.5075749,1.9638664026511372e-79,1.7052358795404906e-78,0.12278218378546082
ADAM9,18.85805,0.35722613,2.5236332130045218e-79,2.190711560904631e-78,0.14302611933063156
ARHGAP27,18.856382,1.189299,2.604382933898061e-79,2.2602177453515735e-78,0.09160186926761164
CSNK1G3,18.856058,0.12166998,2.6204036745934423e-79,2.2735271390436543e-78,0.17622307110585406
CDC123,18.843979,0.74364734,3.2925805539123816e-79,2.855978179522119e-78,0.10218921486882163
ACOT9,18.8427,0.731213,3.373188379831854e-79,2.9251331147541626e-78,0.11139981772701713
DAZAP2,18.841644,0.86334455,3.4410556730050993e-79,2.9832065944245775e-78,0.09858253669698086
HS3ST1,18.838392,1.7076437,3.659142666960055e-79,3.171448006101322e-78,0.07917240309476256
TMED8,18.83419,0.5989984,3.9613823941281986e-79,3.432508899129246e-78,0.11029454538403366
RPS27A,18.825737,0.8690206,4.6470312865901063e-79,4.0255681408801953e-78,0.10856876926955071
DIAPH3,18.823683,0.96148205,4.83066131137694e-79,4.183549248381845e-78,0.10748288766942661
NOC2L,18.821495,1.4550667,5.034401749591595e-79,4.358859861628144e-78,0.08464059258110178
CBX1,18.816225,0.8264194,5.560801351512428e-79,4.813369345036983e-78,0.10269337418316496
FAM91A1,18.812538,0.28267056,5.961344650198339e-79,5.158730460390557e-78,0.13924492447305656
EXOC3,18.806503,0.5672488,6.680045314793753e-79,5.779161663168623e-78,0.12452735064280313
TTC28-AS1,18.80605,0.23293105,6.737652828596218e-79,5.827481753600125e-78,0.1595470322468054
ARHGAP12,18.804716,0.054505557,6.909231335694522e-79,5.974325970583358e-78,0.2860328479184038
ARMC10,18.80007,0.8400458,7.541599393773641e-79,6.519428957845874e-78,0.09526671966803048
SOCS6,18.798471,0.67137694,7.772356359146486e-79,6.717160868014053e-78,0.10705629132652072
LMBR1L,18.797083,1.1501817,7.97855124456523e-79,6.893567929340201e-78,0.09191212115336138
DDX60L,18.792704,0.7275979,8.664896606120681e-79,7.484631293174586e-78,0.11118651955556418
MFSD14B,18.78881,0.31685382,9.324724014329212e-79,8.052487286652462e-78,0.13627814081557466
MIATNB,18.777147,0.7211207,1.1615426573470199e-78,1.0028045344396893e-77,0.10725019875511431
TSTD3,18.776733,0.06317896,1.1706353505106235e-78,1.0103918944204508e-77,0.21624556436757092
CHTOP,18.776154,0.56956166,1.1834740551312182e-78,1.021207705992125e-77,0.12361598572841326
SNHG29,18.772093,1.3595983,1.2775423379702706e-78,1.1020918625607914e-77,0.08518353338116383
PFKL,18.771463,0.569965,1.2927403685031212e-78,1.1149130180721463e-77,0.13850807624440092
TICAM1,18.769753,1.6705453,1.3350422925753928e-78,1.1510969691683547e-77,0.07952143646623103
RAD51D,18.767927,1.174092,1.3817108326338187e-78,1.1910261289401172e-77,0.08747164103856819
THEM4,18.761518,0.41573724,1.5588288679778901e-78,1.343352030426625e-77,0.1332337941866553
SLC41A1,18.759996,1.804935,1.6041095511774859e-78,1.3820148816112413e-77,0.07643830835159295
RPL9,18.748344,1.0854298,1.997136551501412e-78,1.720179560468298e-77,0.09738031063970061
TNKS2,18.748262,0.05437893,2.000214700354899e-78,1.7223840485109974e-77,0.21897965911074052
MTFMT,18.743956,0.78936505,2.168912893501658e-78,1.8671657691425733e-77,0.10003684241143278
AC211433.1,18.741894,0.6490145,2.254619880747931e-78,1.9404457885006297e-77,0.10583467452638111
HBP1,18.739578,0.40429443,2.3548599673158197e-78,2.026192546119577e-77,0.12396501909988171
USP6NL,18.733072,0.093501754,2.6610525372423506e-78,2.2884638292306398e-77,0.20331193888037852
PHTF1,18.726877,0.39364055,2.989416848746351e-78,2.570186355405848e-77,0.1336603905295612
TTTY10,18.72636,5.672444,3.0186560792354746e-78,2.5946532864337224e-77,0.061274747435574255
SUGT1,18.724655,0.3898588,3.11688756507719e-78,2.6783937554560825e-77,0.13160497178646913
LATS2,18.724007,0.17517248,3.15506210074136e-78,2.7104484284016698e-77,0.1891954780787652
TRIM73,18.723993,0.89222336,3.155822679255769e-78,2.7104484284016698e-77,0.091621260010471
CCT6A,18.722992,0.71081644,3.2157616908157583e-78,2.7612141500348187e-77,0.10957708789823738
AC022424.1,18.721333,2.1094723,3.317489275233898e-78,2.847826108967589e-77,0.0718814837796436
NT5DC3,18.717112,1.4314483,3.5909809815544043e-78,3.081802339403785e-77,0.08305055166663435
EXT2,18.710176,0.30550215,4.090150339379698e-78,3.509285578004225e-77,0.14543057144519206
PMS2,18.70549,0.7460823,4.466081172168468e-78,3.830838523396586e-77,0.10992612126970584
RPL37A,18.701126,0.8335243,4.846964286483155e-78,4.1564721634397385e-77,0.10887902115530046
DUSP18,18.700087,1.4609205,4.9423735160596e-78,4.237195203388664e-77,0.08264334606658781
BCAP29,18.698305,0.5246505,5.110318923617653e-78,4.380047226117722e-77,0.11448294584165519
ZNF471,18.698034,0.700349,5.136291274965835e-78,4.401172012747499e-77,0.11357158092726533
RPL17,18.69389,0.78058815,5.551416020458642e-78,4.755655767371226e-77,0.11072114172693956
FYB1,18.688112,2.8202152,6.186442453403973e-78,5.298288244075974e-77,0.06939946869364565
AC097518.2,18.687984,2.9910161,6.201244608563776e-78,5.3095958221441885e-77,0.06864322972213066
STARD3,18.68361,1.39082,6.730901687863549e-78,5.761610199634475e-77,0.08636636869558473
KLC4,18.679485,0.91045326,7.271776192865238e-78,6.222991152265395e-77,0.09518915669659304
POLR2H,18.675926,1.1703099,7.772922374090598e-78,6.6501446665628496e-77,0.09286226755346998
RDH11,18.675238,1.0216928,7.873739442202601e-78,6.734663689822132e-77,0.09239688972484536
CSDE1,18.675013,0.15773779,7.907161424037478e-78,6.7615088314123215e-77,0.17831727133466482
PPP2R3C,18.674833,0.5077449,7.933619364183286e-78,6.782386646970696e-77,0.11810901475635531
AC093535.1,18.67343,0.41867116,8.145088224863437e-78,6.961377333806064e-77,0.15374920013185706
AGBL5,18.671906,1.6208115,8.380943738039451e-78,7.16111312089197e-77,0.07636074538015551
NEK1,18.668467,0.11114799,8.938126826418972e-78,7.635234451875881e-77,0.34899458998274224
PNPT1,18.667137,0.4209056,9.163383767861141e-78,7.825642865948079e-77,0.1307711698435167
CARD10,18.659306,2.1538498,1.0610160006263387e-77,9.058877676728453e-77,0.07213356343681526
GABPB2,18.652002,0.17243555,1.2163380238670017e-77,1.0382336181100239e-76,0.22078299819666092
TMED4,18.65007,1.2953619,1.2611224098745692e-77,1.0761837187734566e-76,0.0811890403521359
PSIP1,18.64718,0.25329667,1.331139864984145e-77,1.1356415230455692e-76,0.15506777064629346
TET2,18.645834,0.09274099,1.3651028067577877e-77,1.1643173284250084e-76,0.32225475557968625
NPM1,18.636166,0.5124583,1.6355508624608811e-77,1.3946284241692628e-76,0.13090690504353222
RPS6KA1,18.63447,1.3464304,1.6882062815860543e-77,1.4391579300072747e-76,0.08597855383839755
RPS6KB1,18.632143,0.20091766,1.7631886986683924e-77,1.5026929556105058e-76,0.1796552325919606
FOXK2,18.623829,0.0927279,2.0595095166522264e-77,1.75478455198667e-76,0.2444978767136569
INTS1,18.621126,1.1488873,2.1661193226578395e-77,1.844673659644291e-76,0.10069612766865099
SHARPIN,18.62013,1.2387408,2.206744537416117e-77,1.8787883492401217e-76,0.08574586492408524
MFSD11,18.616583,0.5818013,2.357842124587557e-77,2.006915916554864e-76,0.12074615578522813
MTF2,18.607656,0.055788785,2.785414530428094e-77,2.3702435691525995e-76,0.2269298636830777
TMEM50B,18.604094,0.38106582,2.9767983673821463e-77,2.5324522928659183e-76,0.13920614298733786
TMEM106A,18.6033,1.6557968,3.021238169941055e-77,2.569600209905809e-76,0.07661282503732718
MSN,18.600729,0.19897857,3.1696465034841497e-77,2.6951329705937953e-76,0.19035892265032672
BMT2,18.598133,0.16589613,3.3269377199912682e-77,2.8281525871630843e-76,0.16707064047623665
SLC36A1,18.596151,1.7682621,3.452214209129767e-77,2.93389609930752e-76,0.07574024160865603
HERC6,18.595886,0.8416433,3.469287677256665e-77,2.9476516897551256e-76,0.10052161098291676
UTP6,18.591852,0.6220915,3.74035053720171e-77,3.177145030372105e-76,0.11925306858505749
ADGRL2,18.59176,0.13336813,3.746701697149991e-77,3.181725911820161e-76,0.2777917822031762
TRIM26,18.590727,0.2911398,3.8196663929975776e-77,3.242858678422183e-76,0.14694304938822206
CRMP1,18.57967,0.5582795,4.693863952662711e-77,3.984025017490099e-76,0.11246630858428186
ZDHHC20,18.579582,0.09470276,4.701449991178226e-77,3.989444045670376e-76,0.25605475945783485
TTC37,18.57531,0.0816794,5.091042110547412e-77,4.318931074057646e-76,0.23584960539838282
TPM2,18.571613,1.9010412,5.4540122796971435e-77,4.625671104343907e-76,0.07736906400884218
NUCKS1,18.566732,0.09404729,5.9728973698925615e-77,5.06445567594261e-76,0.2733900835741017
LGALS8,18.554638,1.2032474,7.48100624874542e-77,6.341570882903828e-76,0.08716138915281844
ATXN10,18.552969,0.09551188,7.716866220973822e-77,6.539837314987615e-76,0.3356537588955033
RALGAPB,18.529377,0.07603046,1.1966557891834034e-76,1.01387493809762e-75,0.21979407031083362
KMT5B,18.524988,0.0687448,1.2983043656480496e-76,1.0997167897188225e-75,0.30148726997731284
KLHL42,18.517889,0.6391704,1.4813135988064743e-76,1.254413076632751e-75,0.11446355509879584
FBXO33,18.510204,0.30873433,1.7084875127931628e-76,1.4464206877813406e-75,0.14690426790250335
GSPT1,18.505777,0.14174016,1.8548413802571957e-76,1.5699248837639542e-75,0.19148358573616955
SESN3,18.494444,0.19930398,2.288948409521075e-76,1.9363628787194338e-75,0.16592658664753446
LINC01091,18.488207,0.6626443,2.5695983239619218e-76,2.1732282921251057e-75,0.1283279362432375
AIMP1,18.485966,0.54499084,2.6786411855885397e-76,2.264873998632082e-75,0.11498710515599853
INO80,18.485077,0.08896548,2.723129719528927e-76,2.301904256803424e-75,0.2543677648290706
MSH3,18.481781,0.07421865,2.8946741628031435e-76,2.446290682151071e-75,0.3046479610633883
PRKRA,18.479038,0.66985834,3.0456637914856666e-76,2.573237163676592e-75,0.10513660778344418
EIF4G1,18.470789,0.46208543,3.548660294891232e-76,2.9974489043899385e-75,0.1448100676736926
SNX8,18.468239,0.7495436,3.7202263046249863e-76,3.1415664857265524e-75,0.107773748812317
LINC00511,18.467766,1.9144825,3.7529500903913935e-76,3.168394477532566e-75,0.07667099726590526
CAPRIN1,18.466463,0.10768378,3.844653883755829e-76,3.2449895159183665e-75,0.19629248996529058
